ID,Player,Nationality,Country
231,A.Rami,FRA,France
232,A.Ramos,COL,Colombia
233,A.Redondo,ESP,Spain
234,A.Remiro,ESP,Spain
235,A.Revuelta,ESP,Spain
236,A.Riesgo,ESP,Spain
237,A.Rivera,ESP,Spain
238,A.Robles,ESP,Spain
239,A.Rodriguez,ESP,Spain
240,A.Rubio,ESP,Spain
241,A.Rubio,ESP,Spain
242,A.Rudiger,GER,Germany
243,A.Ruibal,ESP,Spain
244,A.Ruiz,ESP,Spain
245,A.Rukavina,SRB,Serbia
246,A.Sadiku,ALB,Albania
247,A.Sanabria,PAR,Paraguay
248,A.Sanchez,CHL,Chile
249,A.Sanchez,ESP,Spain
250,A.Sane,SEN,Senegal
251,A.Santos,BRA,Brazil
252,A.Santos,PRT,Portugal
253,A.Sanz,ESP,Spain
254,A.Sedlar,SRB,Serbia
255,A.Semedo,GNB,Guinea-Bissau
256,A.Silva,PRT,Portugal
257,A.Sissoko,FRA,France
258,A.Sivera,ESP,Spain
259,A.Sola,ESP,Spain
260,A.Solano,COL,Colombia
261,A.Solari,ARG,Argentina
262,A.Song,CMR,Cameroon
263,A.Sorloth,NOR,Norway
264,A.Soro,ESP,Spain
265,A.Tchouameni,FRA,France
266,A.Tejero,ESP,Spain
267,A.Telles,BRA,Brazil
268,A.Tighadouini,MAR,Morocco
269,A.Tirlea,ROU,Romania
270,A.Tomas,ESP,Spain
271,A.Tosca,ROU,Romania
272,A.Trajkovski,MKD,North Macedonia
273,A.Traore,ESP,Spain
274,A.Trujillo,ESP,Spain
275,A.Tunez,VEN,Venezuela
276,A.Turan,TUR,Turkey
277,A.Tziolis,GRE,Greece
278,A.Vadillo,ESP,Spain
279,A.Vazquez,ESP,Spain
280,A.Vidal,CHL,Chile
281,A.Vidal ,ESP,Spain
282,A.Villalibre,ESP,Spain
283,A.Werner,ARG,Argentina
284,A.Witsel,BEL,Belgium
285,Abner,BRA,Brazil
286,Adrian,ESP,Spain
287,Adriano,BRA,Brazil
288,Alexander,ARG,Argentina
289,Alexis,ESP,Spain
290,Alfon,ESP,Spain
291,Amath,SEN,Senegal
292,Angel,ESP,Spain
293,Antonito,ESP,Spain
294,Anuar,MAR,Morocco
295,Apono,ESP,Spain
296,Arthur,BRA,Brazil
297,B.Adekanye,NLD,Netherlands
298,B.Akinsola,NGA,Nigeria
299,B.Anderson,CIV,Ivory Coast
300,B.Angulo,COL,Colombia
301,B.Baston,ESP,Spain
302,B.Cufre,ARG,Argentina
303,B.Dia,SEN,Senegal
304,B.Diawara,SEN,Senegal
305,B.Diaz,MAR,Morocco
306,B.Ekiza,ESP,Spain
307,B.Espinosa,COL,Colombia
308,B.Etxebarria,ESP,Spain
309,B.Fernandez,ESP,Spain
310,B.Gama,PRT,Portugal
311,B.Garces,ESP,Spain
312,B.Garcia,ESP,Spain
313,B.Gil,ESP,Spain
314,B.Gomez,ESP,Spain
315,B.Gonzalez,ESP,Spain
316,B.Herrera,ESP,Spain
317,B.Ideye,NGA,Nigeria
318,B.Iglesias,ESP,Spain
319,B.Jokic,SVN,Slovenia
320,B.Kone,BFA,Burkina Faso
321,B.Krkic,ESP,Spain
322,B.Lasso,ESP,Spain
323,B.Lecomte,FRA,France
324,B.Lopez,ESP,Spain
325,B.Mayoral,ESP,Spain
326,B.Mendez,ESP,Spain
327,B.Mensah,GHA,Ghana
328,B.Nobrega,ESP,Spain
329,B.Ocampo,URY,Uruguay
330,B.Olivan,ESP,Spain
331,B.Oubina,ESP,Spain
332,B.Pawlowski,POL,Poland
333,B.Rabello,CHL,Chile
334,B.Rahman,GHA,Ghana
335,B.Ramirez,ESP,Spain
336,B.Rodriguez,URY,Uruguay
337,B.Sainz,ESP,Spain
338,B.Soriano,ESP,Spain
339,B.Tremoulinas,FRA,France
340,B.Turrientes,ESP,Spain
341,B.Valero,ESP,Spain
342,B.Valle,ESP,Spain
343,B.Viguera,ESP,Spain
344,B.Zuculini,ARG,Argentina
345,Bacari,GMB,Gambia
346,Barbero,ESP,Spain
347,Barcia,ESP,Spain
348,Barri,ESP,Spain
349,Bebe,CPV,Cabo Verde
350,Beto,PRT,Portugal
351,Blanco,ESP,Spain
352,Blanco,ESP,Spain
353,Brandon,ESP,Spain
354,Bruma,PRT,Portugal
355,Bruno,ESP,Spain
356,Burgui,ESP,Spain
357,C.Akapo,GNQ,Equatorial Guinea
358,C.Alena,ESP,Spain
359,C.Alfonso,ESP,Spain
360,C.Alvarez,ESP,Spain
361,C.Alvarez,ARG,Argentina
362,C.Ansaldi,ARG,Argentina
363,C.Aranda,ESP,Spain
364,C.Atsu,GHA,Ghana
365,C.Awaziem,NGA,Nigeria
366,C.Bacca,COL,Colombia
367,C.Bakambu,COD,Congo Democratic Republic
368,C.Beauvue,GLP,Guadeloupe
369,C.Bellvis,ESP,Spain
370,C.Biraghi,ITA,Italy
371,C.Borges,CRC,Costa Rica
372,C.Bravo,CHL,Chile
373,C.Bravo,CHL,Chile
374,C.Bustos,ESP,Spain
375,C.Caballero,ESP,Spain
376,C.Calderon,ESP,Spain
377,C.Carmona,ESP,Spain
378,C.Castro,ESP,Spain
379,C.Castro,URY,Uruguay
380,C.Clerc,ESP,Spain
381,C.Cueva,PER,Peru
382,C.De La Hoz,ESP,Spain
383,C.Diaz,ARG,Argentina
384,C.Dominguez,ESP,Spain
385,C.Doukoure,CIV,Ivory Coast
386,C.Espinoza,ARG,Argentina
387,C.Fabregas,ESP,Spain
388,C.Fernandez,ESP,Spain
389,C.Flores,ESP,Spain
390,C.Ganea,ROU,Romania
391,C.Garcia,ESP,Spain
392,C.Gil,ESP,Spain
393,C.Gomez,ESP,Spain
394,C.Gonzalez,ESP,Spain
395,C.Gonzalez,ESP,Spain
396,C.Grenier,FRA,France
397,C.Gurpegui,ESP,Spain
398,C.Herrera,ESP,Spain
399,C.Ianson,ENG,England
400,C.Immobile,ITA,Italy
401,C.Isaac,ESP,Spain
402,C.Kameni,CMR,Cameroon
403,C.Larin,CAN,Canada
404,C.Lell,GER,Germany
405,C.Lenglet,FRA,France
406,C.Lobato,ESP,Spain
407,C.Mabwati,COD,Congo Democratic Republic
408,C.Marchena,ESP,Spain
409,C.Marica,ROU,Romania
410,C.Martin,ESP,Spain
411,C.Martinez,ESP,Spain
412,C.Martins,PRT,Portugal
413,C.Medjani,ALG,Algeria
414,C.Montes,MEX,Mexico
415,C.Mosquera,COL,Colombia
416,C.Musonda,BEL,Belgium
417,C.Neva,ESP,Spain
418,C.Oliva,URY,Uruguay
