Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
L.Chichizola,33,Goalkeeper,185,80,27,0,2430,0,0,0,2,0,0,66.1,0.5,2,6.7,Las Palmas,2017/2018,ARG,Argentina
L.Chichizola,33,Goalkeeper,185,80,1,0,90,0,0,0,0,0,0,41.7,1,0,6,Getafe,2018/2019,ARG,Argentina
L.Cigarini,37,Midfielder,175,72,5,1,384,0,0,0,2,0,1.2,85.5,0,0,6.33,Sevilla,2010/2011,ITA,Italy
L.Cruz,22,Forward,166,0,0,2,12,0,0,0,0,0,0,33.3,0,0,6.1,Sevilla,2021/2022,ESP,Spain
L.Damiao,34,Forward,188,90,1,2,129,0,0,0,0,0,2,68.2,1.7,0,6.22,Real Betis,2015/2016,BRA,Brazil
L.de Jong,33,Forward,188,86,24,11,2063,6,1,7,2,0,1.6,69.3,4.2,2,6.86,Sevilla,2019/2020,NLD,Netherlands
L.de Jong,33,Forward,188,86,14,20,1264,4,0,4,3,0,0.9,72.8,2.1,1,6.46,Sevilla,2020/2021,NLD,Netherlands
L.de Jong,33,Forward,188,86,6,15,643,6,0,6,1,0,1.1,72,1.6,0,6.54,Barcelona,2021/2022,NLD,Netherlands
L.de la Torre,25,Midfielder,178,63,16,12,1489,0,2,2,6,0,0.6,86.6,0.2,0,6.32,Celta Vigo,2022/2023,USA,United States of America
L.de Leon,23,Forward,185,80,0,1,13,0,0,0,0,0,0,66.7,0,0,5.93,Celta Vigo,2020/2021,URY,Uruguay
L.Diarra,39,Midfielder,173,73,19,7,1728,0,2,2,11,0,0.7,87.6,0.8,0,7.24,Real Madrid,2010/2011,FRA,France
L.Diarra,39,Midfielder,173,73,15,2,1147,0,0,0,5,0,0.5,86.7,0.4,0,6.99,Real Madrid,2011/2012,FRA,France
L.Diarra,39,Midfielder,173,73,2,0,121,0,0,0,0,0,0,89,0,0,6.43,Real Madrid,2012/2013,FRA,France
L.Digne,30,Defender,178,74,14,3,1175,0,0,0,3,0,0.3,87.3,1.2,0,6.92,Barcelona,2016/2017,FRA,France
L.Digne,30,Defender,178,74,8,4,702,0,2,2,2,0,0.2,87.9,0.8,0,6.72,Barcelona,2017/2018,FRA,France
L.Dimata,26,Forward,185,81,4,13,537,0,0,0,0,0,0.5,72.8,1.1,0,6.12,Espanyol,2021/2022,BEL,Belgium
L.E.Traore,33,Forward,203,87,5,3,464,2,0,2,2,0,2.5,48.6,2.9,0,6.54,Sporting Gijon,2016/2017,CIV,Ivory Coast
L.Fabiano,43,Forward,183,81,16,5,1395,10,1,11,2,0,3,71.9,1.1,2,7.03,Sevilla,2010/2011,BRA,Brazil
L.Farina,32,Forward,177,74,15,6,1150,1,0,1,1,1,0.7,84.8,0.2,0,6.34,Deportivo La Coruna,2014/2015,ARG,Argentina
L.Farina,32,Forward,177,74,0,3,52,0,0,0,0,0,0,88.9,0,0,6.1,Rayo Vallecano,2015/2016,ARG,Argentina
L.Fejsa,35,Defender,185,80,11,2,792,0,0,0,2,0,0.1,80.5,1.4,0,6.19,Deportivo Alaves,2019/2020,SRB,Serbia
L.Felipe,27,Defender,187,80,22,1,1769,0,0,0,3,3,0.1,85.5,1.3,0,6.65,Real Betis,2022/2023,ITA,Italy
L.Franco,46,Goalkeeper,188,79,21,2,1875,0,0,0,0,0,0,44.4,0.2,1,6.68,Real Zaragoza,2010/2011,ARG,Argentina
L.Franco,46,Goalkeeper,188,79,4,0,347,0,0,0,1,1,0,41.7,0,0,6.06,Real Zaragoza,2012/2013,ARG,Argentina
L.Galeano,32,Defender,183,84,7,0,496,0,0,0,4,0,0.4,84.8,1.4,0,6.51,Rayo Vallecano,2013/2014,ARG,Argentina
L.Garai,43,Defender,182,80,5,1,384,0,0,0,1,0,0,86.5,0.2,0,6.16,Cordoba,2014/2015,ESP,Spain
L.Garcia,43,Midfielder,178,69,36,1,2997,6,6,12,8,0,1.7,75.7,0.1,2,6.94,Espanyol,2010/2011,ESP,Spain
L.Garcia,43,Midfielder,178,69,1,0,60,0,0,0,0,0,1,47.6,0,0,6.29,Espanyol,2011/2012,ESP,Spain
L.Garcia,43,Midfielder,178,69,28,7,2393,4,3,7,8,0,1.2,77.1,0.3,1,6.74,Real Zaragoza,2011/2012,ESP,Spain
L.Henrique,23,Forward,181,77,21,12,1816,1,3,4,6,0,1.3,76.3,0.8,2,6.64,Real Betis,2022/2023,BRA,Brazil
L.Hernandez,28,Defender,184,79,0,1,2,0,0,0,0,0,0,66.7,0,0,6,Atletico Madrid,2014/2015,FRA,France
